id,func,data,len,type,gain,offset,max,min
0,Common Header,2423,u16,Dec,,,,
1,Common Length,4,u16,Dec,,,,
2,Machine Information Offset,6,u16,Dec,,,,
3,User Parameter Offset,14,u16,Dec,,,,
4,Advance Parameter Offset,20,u16,Dec,,,,
5,Common Checksum,2467,u16,Dec,,,,
6,Machine Length,8,u16,Dec,,,,
7,Country Code,886,u16,Dec,,,,
8,Vender ID,2423,u16,Dec,,,,
9,Product ID,1,u16,Dec,,,,
10,Part ID,2,u16,Dec,,,,
11,Module ID,0,u16,Dec,,,,
12,Version,FW_VERSION,u16,Dec,,,,
13,Build Date,FW_BUILDDATE,u16,Dec,,,,
14,User Parameter Length,6,u16,Dec,,,,
15,Main Control Status,,u16,Dec,,,,
16,Main Error Status,,u16,Dec,,,,
17,Main Error Mask,,u16,Dec,,,,
18,Main Error Result,,u16,Dec,,,,
19,Reserverd ID,,u16,Dec,,,,
20,Advance Parameter Length,6,u16,Dec,,,,
21,Advance Password,0,u16,Dec,,,,
22,Heartbeat C28,,u32,Dec,,,,
24,Heartbeat CLA,,u32,Dec,,,,
